Time (ms),Joint 1 (deg),Joint 2 (deg),Joint 3 (deg),Joint 4 (deg),Joint 5 (deg),Joint 6 (deg),Twin 1 (deg),Twin 2 (deg),Twin 3 (deg),Twin 4 (deg),Twin 5 (deg),Twin 6 (deg)
16.1,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
16.2,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
16.3,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
16.4,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
16.5,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
16.6,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
16.7,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
16.8,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
16.9,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
17,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
17.1,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
17.2,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
17.3,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
17.4,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
17.5,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
17.6,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
17.7,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
17.8,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
17.9,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
18,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
18.1,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
18.2,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
18.3,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
18.4,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
18.5,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
18.6,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
18.7,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
18.8,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
18.9,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
19,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
19.1,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
19.2,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
19.3,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
19.4,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
19.5,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
19.6,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
19.7,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
19.8,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
19.9,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
20,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
20.1,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
20.2,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
20.3,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
20.4,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
20.5,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
20.6,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
20.7,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
20.8,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
20.9,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
21,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
21.1,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
21.2,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
21.3,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
21.4,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
21.5,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
21.6,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
21.7,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
21.8,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
21.9,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
22,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
22.1,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
22.2,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
22.3,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
22.4,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
22.5,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
22.6,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
22.7,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
22.8,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
22.9,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
23,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
23.1,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
23.2,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
23.3,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
23.4,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
23.5,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
23.6,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
23.7,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
23.8,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
23.9,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
24,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
24.1,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
24.2,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
24.3,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
24.4,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
24.5,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
24.6,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
24.7,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
24.8,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
24.9,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
25,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
25.1,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
25.2,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
25.3,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
25.4,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
25.5,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
25.6,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
25.7,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
25.8,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
25.9,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
26,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
26.1,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
26.2,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
26.3,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
26.4,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
26.5,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
26.6,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
26.7,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
26.8,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
26.9,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
27,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
27.1,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
27.2,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
27.3,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
27.4,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
27.5,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
27.6,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
27.7,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
27.8,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
27.9,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
28,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
28.1,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
28.2,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
28.3,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
28.4,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
28.5,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
28.6,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
28.7,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
28.8,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
28.9,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
29,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
29.1,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
29.2,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
29.3,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
29.4,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
29.5,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
29.6,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
29.7,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
29.8,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
29.9,0,0,0,0,0,0,0,360,0,-180,1.086677E-05,-1.086676E-05
